175,Chocolate Raisins,0,451,,
176,Chewing Gum,0,450,,
177,Chocolate (Bags),0,449,,
178,Jelly,0,454,,
179,Custard,0,455,,
180,Tinned Fruit,0,456,,
181,Cereal (Crunchy Nut),0,458,,
182,Cereal ,0,459,,
183,Cereal (Coco Pops),0,460,,
184,Cereal (Rice Krispies),0,462,,
185,Cereal (Cornflakes),0,463,,
186,Custard Powder,0,467,,
187,Sponge Puddings,0,468,,
188,Meringues,0,469,,
189,Evaportated Milk,0,470,,
190,Ice Cream Cones,0,471,,
191,Pop Tarts,0,472,,
192,Porridge (Instant),0,473,,
193,Porridge (Flavoured),0,474,,
194,Porridge ,0,475,,
195,Granola,0,477,,
196,Weetabix,0,479,,
197,Nut Milk,0,480,,
198,Longlife Milk,0,482,,
199,Cake Mix,0,483,,
200,Cake Decorations,0,484,,
201,Flour,0,485,,
202,Syrup,0,485,,
203,Homebaking,0,486,,
204,Yeast,0,487,,
205,Dried Fruit,0,488,,
206,Fruit Winders,0,489,,
207,Eggs (Medium),0,491,,
208,Eggs (Large),0,492,,
209,Tea,0,493,,
210,Tetley,0,494,,
211,PG Tips,0,495,,
212,Tea (Green),0,496,,
213,Tea (Speciality),0,497,,
214,Coffee (Pods),0,498,,
215,Coffee (Ground),0,499,,
216,Coffee (Instant),0,500,,
217,Coffee (Satchets),0,502,,
218,Hot Chocolate,0,503,,
219,Sugar,0,504,,
220,Sweeteners,0,505,,
221,Jam,0,521,,
222,Chocolate Spread,0,519,,
223,Peanut Butter,0,520,,
224,Bread (Small Loaf),0,523,,
225,Bread (Large Loaf),0,530,,
226,Soup,0,584,,
227,Soup (Multipack),0,586,,
228,Soup (Cup-a-Soup),0,588,,
229,Clearance,0,589,,
230,Pot Noodle ,0,591,,
231,Instant Noodles,0,592,,
232,Instant Pasta,0,593,,
233,Tinned Meat,0,594,,
234,Ready Meals (Tinned),0,595,,
235,Tinned Vegetables,0,597,,
236,Sweetcorn (Tinned),0,598,,
237,Tinned Beans,0,599,,
238,Tomato Puree,0,600,,
239,Chopped Tomatoes,0,600,,
240,Plum Tomatoes,0,600,,
241,Tomato Pasatta,0,601,,
242,Tinned Tomatoes,0,602,,
243,Baked Beans,0,603,,
244,Heinz Beans,0,604,,
245,Heinz Beans (Multipack),0,605,,
246,Spaghetti Hoops,0,606,,
247,Tinned Fish,0,608,,
248,Packet Mixes,0,558,,
249,Sauce Mixes,0,559,,
250,Soy Sauce,0,560,,
251,Seaweed,7,560,,
252,Chinese Style Sauces,0,561,,
253,Noodles,0,562,,
254,Stir Fry Sauce,0,562,,
255,Poppadoms,0,563,,
256,Naan Bread,0,564,,
257,Curry Paste,0,564,,
258,Curry Sauce,0,565,,
259,Rice,0,566,,
260,Microwave rice,0,567,,
261,Rice (Microwave),0,568,,
262,Fajita Kits,0,569,,
263,Mexican style food,0,570,,
264,Stock Cubes,0,571,,
265,Gravy,0,572,,
266,Breadcrumbs,0,573,,
267,Lentils,0,574,,
268,Herbs,0,575,,
269,Spices,0,576,,
270,Salt,0,576,,
271,Pepper,0,576,,
272,Cooking Sauce,0,577,,
273,Harissa Paste,0,577,,
274,Pasta Sauce (Large Jars),0,578,,
275,Pasta Sauce (Stir In),0,579,,
276,Spaghetti,0,580,,
277,Macaroni,0,581,,
278,Gnocchi,0,582,,
279,Penne ,0,583,,
280,Soup (Fresh),0,673,,
281,Quorn,0,672,,
282,Ready Meals (Pasta),0,671,,
283,Ready Meals,0,670,,
284,Ready Meals (For 2),0,669,,
285,Cauliflower Cheese,0,668,,
286,Ready Meals (The Best),0,667,,
287,Takeaway Bags,0,666,,
288,Party Food,0,665,,
289,Pakora,0,664,,
290,Coleslaw,0,663,,
291,Pasta Salad,0,662,,
292,Clearance (Chilled),0,674,,
