1,Produce,Right,1,2426,1820,1
2,Produce,Right,2,2426,1715,4
3,Produce,Right,3,2426,1675,4
4,Produce,Right,4,2426,1636,4
5,Produce,Right,5,2426,1595,5
6,Produce,Right,6,2426,1555,5
7,Produce,Right,7,2426,1488,5
8,Produce,Right,8,2378,1458,5
9,Produce,Right,9,2362,1274,5
10,Produce,Right,10,2312,1103,9
11,Produce,Right,11,2294,967,9
12,Produce,Right,12,2294,930,13
13,Produce,Right,13,2294,890,13
14,Produce,Right,14,2294,848,13
15,Produce,Right,15,2294,808,13
16,Produce,Right,16,2294,684,13
17,Produce,Right,17,2294,592,15
18,Produce,Right,18,2294,334,17
19,Produce,Middle,1,2217,1711,3
20,Produce,Middle,2,2254,1708,3
21,Produce,Middle,3,2288,1684,3
22,Produce,Middle,4,2312,1649,3
23,Produce,Middle,5,2267,1653,3
24,Produce,Middle,6,2232,1675,3
25,Produce,Middle,7,2210,1566,6
26,Produce,Middle,8,2162,1553,6
27,Produce,Middle,9,2208,1520,6
28,Produce,Middle,10,2237,1476,6
29,Produce,Middle,11,2187,1486,6
30,Produce,Middle,12,2137,1519,6
31,Produce,Middle,13,2120,1356,8
32,Produce,Middle,14,2167,1347,8
33,Produce,Middle,15,2197,1326,8
34,Produce,Middle,16,2221,1291,8
35,Produce,Middle,17,1276,1296,8
36,Produce,Middle,18,2145,1318,8
37,Produce,Middle,19,2144,1147,12
38,Produce,Middle,20,2122,1100,12
39,Produce,Middle,21,2122,1042,12
40,Produce,Middle,22,2162,1097,12
41,Produce,Middle,23,2162,1042,12
42,Produce,Middle,24,2144,990,12
43,Produce,Middle,25,2144,870,14
44,Produce,Middle,26,2124,819,14
45,Produce,Middle,27,2124,760,14
46,Produce,Middle,28,2163,819,14
47,Produce,Middle,29,2163,760,14
48,Produce,Middle,30,2144,710,14
49,Produce,Left,1,2061,1748,2
50,Produce,Left,2,2023,1633,7
51,Produce,Left,3,1985,1577,7
52,Produce,Left,4,1985,1496,7
53,Produce,Left,5,1985,1419,10
54,Produce,Left,6,1985,1353,10
55,Produce,Left,7,1985,1310,10
56,Produce,Left,8,1985,1275,11
57,Produce,Left,9,1985,1232,11
58,Produce,Left,10,1985,1192,11
59,Produce,Left,11,1985,1151,11
60,Produce,Left,12,1985,1111,11
61,Produce,Left,13,1995,909,16
62,Produce,Left,14,1995,814,16
63,Produce,Left,15,1995,633,16
64,1,Right,1,1954,1337,21
65,1,Left,1,1872,1503,20
66,1,Left,2,1872,1187,22
67,2,Right,1,1849,1503,24
68,2,Right,2,1849,1187,26
69,2,Left,1,1778,1337,25
70,3,Right,1,1754,1337,28
71,3,Left,1,1692,1337,28
72,4,Right,1,1670,1338,32
73,4,Left,1,1588,1511,31
74,4,Left,2,1587,1190,33
75,5,Right,1,1563,1613,35
76,5,Right,2,1563,1576,35
77,5,Right,3,1563,1536,35
78,5,Right,4,1563,1499,35
79,5,Right,5,1563,1460,36
80,5,Right,6,1563,1422,36
81,5,Right,7,1563,1265,36
82,5,Right,8,1563,1277,36
83,5,Right,9,1563,1188,37
84,5,Right,10,1563,1149,37
85,5,Right,11,1563,1112,37
86,5,Left,1,1463,1613,35
87,5,Left,2,1463,1577,35
88,5,Left,3,1463,1537,35
89,5,Left,4,1463,1500,35
90,5,Left,5,1463,1460,35
91,5,Left,6,1463,1422,36
92,5,Left,7,1463,1384,36
93,5,Left,8,1463,1344,36
94,5,Left,9,1463,1303,36
95,5,Left,10,1463,1265,37
96,5,Left,11,1463,1224,37
97,5,Left,12,1463,1188,37
98,5,Left,13,1463,1148,37
99,5,Left,14,1463,1110,37
100,6,Right,1,1437,1613,39
101,6,Right,2,1437,1577,39
102,6,Right,3,1437,1537,39
103,6,Right,4,1437,1500,39
104,6,Right,5,1437,1460,39
105,6,Right,6,1437,1422,40
106,6,Right,7,1437,1384,40
107,6,Right,8,1437,1344,40
108,6,Right,9,1437,1303,40
109,6,Right,10,1437,1265,41
110,6,Right,11,1437,1224,41
111,6,Right,12,1437,1188,41
112,6,Right,13,1437,1148,41
113,6,Right,14,1437,1110,41
114,6,Left,1,1346,1612,39
115,6,Left,2,1346,1570,39
116,6,Left,3,1346,1533,39
117,6,Left,4,1346,1494,39
118,6,Left,5,1346,1457,40
119,6,Left,6,1346,1418,40
120,6,Left,7,1346,1261,40
121,6,Left,8,1346,1223,41
122,6,Left,9,1346,1184,41
123,6,Left,10,1346,1145,41
124,6,Left,11,1346,1105,41
125,7,Right,1,1321,1612,43
126,7,Right,2,1321,1570,43
127,7,Right,3,1321,1533,43
128,7,Right,4,1321,1494,43
129,7,Right,5,1321,1457,44
130,7,Right,6,1321,1418,44
131,7,Right,7,1321,1261,44
132,7,Right,8,1321,1223,45
133,7,Right,9,1321,1184,45
134,7,Right,10,1321,1145,45
135,7,Right,11,1321,1105,45
136,7,Left,1,1226,1612,43
137,7,Left,2,1226,1573,43
138,7,Left,3,1226,1553,43
139,7,Left,4,1226,1493,43
140,7,Left,5,1226,1455,43
141,7,Left,6,1226,1416,44
142,7,Left,7,1226,1377,44
143,7,Left,8,1226,1336,44
144,7,Left,9,1226,1297,44
145,7,Left,10,1226,1259,43
146,7,Left,11,1226,1221,43
147,7,Left,12,1226,1184,43
148,7,Left,13,1226,1144,43
149,7,Left,14,1226,1107,43
150,8,Right,1,1201,1612,78
151,8,Right,2,1201,1573,78
